delete_flg,id,category_tag_id,discipline_tag_id,sort
0,20001,1,20001,1
0,20002,1,20002,2
0,20003,1,20003,3
0,20004,1,20004,4
0,20005,1,20005,5
0,20006,1,20006,100
0,20007,2,20007,1
0,20008,2,20008,2
0,20009,2,20009,3
0,20010,2,20010,4
0,20011,2,20011,5
0,20012,2,20012,100
0,20013,3,20013,1
0,20014,3,20014,2
0,20015,3,20015,3
0,20016,3,20016,4
0,20017,3,20017,12
0,20018,3,20018,13
0,20019,3,20019,14
0,20020,3,20020,5
0,20021,3,20021,6
0,20022,3,20022,15
0,20023,3,20023,7
0,20024,3,20024,16
0,20025,4,20025,1
0,20026,4,20026,3
0,20027,4,20027,2
0,20028,4,20028,4
0,20029,4,20029,100
0,20030,5,20030,1
0,20031,5,20031,2
0,20032,5,20032,6
0,20033,5,20033,7
0,20034,5,20034,4
0,20035,5,20035,3
0,20036,5,20036,5
0,20037,5,20037,100
0,20038,6,20038,1
0,20039,6,20039,5
0,20040,6,20040,2
0,20041,6,20041,6
0,20042,6,20042,7
0,20043,6,20043,3
0,20044,6,20044,8
0,20045,6,20045,4
0,20046,6,20046,100
0,20047,7,20047,3
0,20048,7,20048,13
0,20049,7,20049,14
0,20050,7,20050,15
0,20051,7,20051,1
0,20052,7,20052,10
0,20053,7,20053,11
0,20054,7,20054,12
0,20055,7,20055,4
0,20056,7,20056,5
0,20057,7,20057,100
0,20058,8,20058,1
0,20059,8,20059,2
0,20060,8,20060,3
0,20061,8,20061,4
0,20062,8,20062,5
0,20063,8,20063,100
0,20064,9,20064,1
0,20065,9,20065,2
0,20066,9,20066,3
0,20067,9,20067,100
0,20068,10,20068,1
0,20069,10,20069,2
0,20070,10,20070,3
0,20071,10,20071,4
0,20072,10,20072,100
0,20073,11,20073,1
0,20074,11,20074,2
0,20075,11,20075,3
0,20076,11,20076,4
0,20077,11,20077,5
0,20078,11,20078,6
0,20079,11,20079,7
0,20080,11,20080,8
0,20081,11,20081,9
0,20082,11,20082,10
0,20083,11,20083,100
0,20084,12,20084,1
0,20085,12,20085,10
0,20086,12,20086,11
0,20087,12,20087,2
0,20088,12,20088,3
0,20089,12,20089,4
0,20090,12,20090,5
0,20091,12,20091,6
0,20092,12,20092,100
0,20093,13,20093,1
0,20094,13,20094,5
0,20095,13,20095,2
0,20096,13,20096,8
0,20097,13,20097,4
0,20098,13,20098,6
0,20099,13,20099,7
0,20100,13,20100,100
0,20101,1,20101,6
0,20102,3,20102,8
0,20103,3,20103,10
0,20104,13,20104,3
0,20105,11,20105,11
0,20106,1,20106,7
0,20107,12,20107,7
0,20108,3,20108,9
0,20109,1,20109,8
0,20110,7,20110,6
0,20111,7,20111,16
0,20112,7,20112,7
0,20113,2,20113,6
0,20114,3,20114,17
0,20115,7,20115,8
0,20116,12,20116,8
0,20117,1,20117,9
0,20118,7,20118,2
0,20119,12,20119,9
0,20120,3,20120,18
0,20121,3,20121,19
0,20122,3,20122,11
0,20123,7,20123,9
0,20124,7,20124,17
0,20125,1,20125,10
