delete_flg,id,name,japanese_name,sort
0,1,Science,理学・サイエンス系,1
0,2,Computing and IT,テクノロジー系,2
0,3,Engineering,工学・エンジニアリング系,3
0,4,Mathematics,数学,4
0,5,"Medicine, Pharmacy, Nursing and Life Sciences",医療・薬学・看護・生命科学,5
0,6,"Agriculture, Veterinary, Animal Science and Fisheries",農・獣医畜産・水産学,6
0,7,"Economics, Business and Accounting",経済・経営・会計学系,7
0,8,"Law, Politics and Policy",法・政治・政策系,8
0,9,International Relations and Development Studies,国際関係・開発学系,9
0,10,Architecture and Environmental Studies,建築・環境学系,10
0,11,Humanities,人文学系,11
0,12,Social Science and Media Studies,社会学・メディア学系,12
0,13,Art,芸術学系,13
