scholarship_id,scholarship_ksp_en,scholarship_ksp
1,,
2,,
3,"In the second year, $10,000 will be awarded. In the third and fourth years, $10,000 or $15,000 will be awarded based on academic performance."," - 表示されている奨学金は1年目の最大奨学金です。2年目は10,000ドル給付されます。3・4年目は成績に基づき10,000ドルまたは15000ドル給付されます"
4,,
5,"From the second to fourth years, $3,000 or $6,000 will be awarded each year based on the first year’s academic performance."," - 給付額：1年目 8,000ドル、2～4年目 3,000～6,000ドル"
6,,
7,"From the second to fourth years, $10,000 or $13,000 will be awarded each year based on the first year’s academic performance."," - 給付額： 1年目 13,000ドル、2～4年目 10,000～13,000ドル"
8,,
9,,
10,,
11,,
12,"From the second to fourth years, $8,000 will be awarded each year based on the first year’s academic performance."," - 給付額： 1年目 19,000ドル、2～4年目 8,000ドル"
13,,
14,,
15,"From the second to fourth years, $20,000 will be awarded each year."," - 表示されている奨学金は1年目の最大奨学金です。2～4年目は20,000ドルが各年度給付されます"
16,,
17,"From the second to fourth years, $10,000 will be awarded each year based on the first year’s academic performance."," - 表示されている奨学金は1年目の最大奨学金です。2～4年目は1年目の成績に基づき10,000ドルが各年度給付されます"
18,,
19,"From the second to fourth years, $3,000 will be awarded each year based on the first year’s academic performance."," - 表示されている奨学金は1年目の最大奨学金です。2～4年目は1年目の成績に基づき3,000ドルが各年度給付されます"
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
67,,
68,,
69,,
70,,
71,,
72,,
73,,
74,,
75,,
76,,
77,,
78,,
79,,
80,,
81,,
82,,
83,,
84,,
85,,
86,,
87,,
88,,
89,,
90,,
91,,
92,,
93,,
94,,
95,,
96,"From the second to fourth years, $10,000 or $13,000 will be awarded each year based on the first year’s academic performance."," - 給付額： 1年目 10,000ドル、2～4年目 10,000～13,000ドル"
97,,
98,,
99,"In the second year, $10,000 will be awarded. In the third and fourth years, $10,000 or $15,000 will be awarded based on academic performance."," - 表示されている奨学金は1年目の最大奨学金です。2年目は10,000ドル給付されます。3・4年目は成績に基づき10,000ドルまたは15000ドル給付されます"
100,"From the second to fourth years, $8,000 will be awarded each year based on the first year’s academic performance."," - 給付額： 1年目 12,000ドル、2～4年目 8,000ドル"
101,,
102,"From the second to fourth years, $20,000 will be awarded each year."," - 表示されている奨学金は1年目の最大奨学金です。2～4年目は20,000ドルが各年度給付されます"
103,,
104,,
105,"From the second to fourth years, $10,000 will be awarded each year based on the first year’s academic performance."," - 表示されている奨学金は1年目の最大奨学金です。2～4年目は1年目の成績に基づき10,000ドルが各年度給付されます"
106,,
107,,
108,,
109,,
110,,
111,,
112,,
113,,
114,,
115,,
116,,
117,,
118,,
119,,
120,,
121,,
122,,
123,,
124,,
125,,
126,,
127,,
128,,
129,,
130,,
131,,
132,,
133,,
