study_subarea_study_area_id,sort
1,1
2,2
3,3
4,4
5,5
6,100
7,1
8,2
9,3
10,4
11,5
12,100
13,1
14,2
15,3
16,4
17,12
18,13
19,14
20,5
21,6
22,15
23,7
24,16
25,1
26,3
27,2
28,4
29,100
30,1
31,2
32,6
33,7
34,4
35,3
36,5
37,100
38,1
39,5
40,2
41,6
42,7
43,3
44,8
45,4
46,100
47,3
48,13
49,14
50,15
51,1
52,10
53,11
54,12
55,4
56,5
57,100
58,1
59,2
60,3
61,4
62,5
63,100
64,1
65,2
66,3
67,100
68,1
69,2
70,3
71,4
72,100
73,1
74,2
75,3
76,4
77,5
78,6
79,7
80,8
81,9
82,10
83,100
84,1
85,10
86,11
87,2
88,3
89,4
90,5
91,6
92,100
93,1
94,5
95,2
96,8
97,4
98,6
99,7
100,100
101,6
102,8
103,10
104,3
105,11
106,7
107,7
108,9
109,8
110,6
111,16
112,7
113,6
114,17
115,8
116,8
117,9
118,2
119,9
120,18
121,19
122,11
123,9
124,17
125,10
