university_id,id,uapply_id,slug,non_applicable_country_code,start_date,end_date,score,img_version,is_active
1,,303,the-university-of-western-australia,au,2024-05-02,,80,1,
2,,101,city-university-of-london,us,2024-05-02,,1,1,
3,,102,,,2024-05-02,,1,1,
4,,103,,us,2024-05-02,,1,1,
5,,104,,us,2024-05-02,,80,1,
6,,105,the-university-of-manchester,,2024-05-02,,1,1,
7,,106,,us,2024-05-02,,90,1,
8,,107,,us,2024-05-02,,1,1,
9,,108,,us,2024-05-02,,80,1,
10,,202,,us,2024-05-02,,1,1,
11,,203,,us,2024-05-02,,1,1,
12,,204,,us,2024-05-02,,1,1,
13,,205,,us,2024-05-02,,1,1,
14,,206,,us,2024-05-02,,70,1,
15,,207,,us,2024-05-02,,1,1,
16,,208,,us,2024-05-02,,1,1,
17,,209,the-university-of-alabama-at-birmingham,us,2024-05-02,,1,1,
18,,301,the-university-of-adelaide,,2024-05-02,,1,1,
19,,111,,us,2024-05-02,,1,1,
20,,110,,us,2024-05-02,,1,1,
21,,109,,us,2024-05-02,,1,1,
22,,114,,us,2024-05-02,,1,1,
23,,112,,us,2024-05-02,,1,1,
24,,113,,us,2024-05-02,,1,1,
25,,218,,us,2024-05-02,,1,2,
26,,302,the-university-of-sydney,au,2024-05-02,,1,2,
27,,307,,,2024-05-02,,1,2,
28,,306,the-university-of-manitoba,,2024-05-02,,1,2,
29,,309,,us,2024-05-02,,70,2,
30,,217,,us,2024-05-02,,70,2,
31,,215,,us,2024-05-02,,60,2,
32,,216,,us,2024-05-02,,1,2,
33,,213,,us,2024-05-02,,1,2,
34,,214,,us,2024-05-02,,1,2,
35,,212,the-university-of-utah,us,2024-05-02,,1,2,
36,,115,the-university-of-sheffield,,2024-05-02,,70,2,
37,,116,,,2024-05-02,,1,2,
38,,118,,,2024-05-02,,70,2,
39,,117,,,2024-05-02,,1,2,
40,,305,,,2024-05-02,,1,2,
41,,304,,,2024-05-02,,1,2,
42,,308,the-university-of-auckland,,2024-05-02,,1,2,
43,,,,us,2024-05-02,,1,2,
44,,,,,2024-05-02,,1,2,
45,,,,,2024-05-02,,1,2,
46,,,,,2024-05-02,,60,2,
47,,,,us,2024-05-02,,50,2,
48,,,,us,2024-05-02,,90,2,
49,,,,us,2024-05-02,,90,2,
50,20051,,,,2024-05-02,,60,2,
51,20052,,,,2024-05-02,,60,2,
52,20053,,,,2024-05-02,,60,2,
53,20054,,,,2024-05-02,,60,2,
54,20055,,,,2024-05-02,,60,2,
55,20056,,,,2024-05-02,,60,2,
56,20057,,,,2024-05-02,,50,2,
57,20058,,,,2024-05-02,,60,2,
58,20059,,,,2025-06-01,,100,1,
59,20060,,,,2025-06-01,,100,1,
60,20061,,,,2025-06-01,,100,1,
61,20062,,,,2025-06-01,,100,1,
62,20063,,,us,2025-06-01,,100,1,
