id,language_iso639_code,translation
1,en,International Student Scholarship
2,en,Francis Asbury Scholarship
3,en,Presidential Scholarship
4,en,Dean's Scholarship
5,en,Vice Presidents' Scholarship
6,en,International Scholarship
7,en,New American University Scholarship
8,en,"In the second year, $10,000 will be awarded. In the third and fourth years, $10,000 or $15,000 will be awarded based on academic performance."
8,ja,"2年目は10,000ドル給付されます。3・4年目は成績に基づき10,000ドルまたは15000ドル給付されます"
9,en,"From the second to fourth years, $3,000 or $6,000 will be awarded each year based on the first year’s academic performance."
9,ja,"2～4年目は1年目の成績に基づき3,000ドルまたは6,000ドルが各年度給付されます"
10,en,"From the second to fourth years, $10,000 or $13,000 will be awarded each year based on the first year’s academic performance."
10,ja,"2～4年目は1年目の成績に基づき10,000ドルまたは13,000ドルが各年度給付されます"
11,en,"From the second to fourth years, $8,000 will be awarded each year based on the first year’s academic performance."
11,ja,"2～4年目は1年目の成績に基づき8,000ドルが各年度給付されます"
12,en,"From the second to fourth years, $20,000 will be awarded each year."
12,ja,"2～4年目は20,000ドルが各年度給付されます"
13,en,"From the second to fourth years, $10,000 will be awarded each year based on the first year’s academic performance."
13,ja,"2～4年目は1年目の成績に基づき10,000ドルが各年度給付されます"
14,en,"From the second to fourth years, $3,000 will be awarded each year based on the first year’s academic performance."
14,ja,"2～4年目は1年目の成績に基づき3,000ドルが各年度給付されます"
15,en,A short interview is required to receive the maximum scholarship. You will be asked general questions about your study intentions and why you would like to study in Canada at Simon Fraser University.
15,ja,最大の奨学金を受けるには、短いインタビューが必要です。学習の目的や、なぜカナダのサイモン・フレーザー大学で学びたいのかについて一般的な質問がされます。
16,en,"A separate application for scholarship is required. In addition to the application, students will need to submit a 500-word essay on why you would like to study at the University of Manitoba."
16,ja,奨学金には別途申請が必要です。申請に加え、マニトバ大学で学びたい理由について500文字のエッセイを提出する必要があります。
17,en,A short interview is required to receive the maximum scholarship. You will be asked general questions about your study intentions and why you would like to study in the US at San Francisco State University.
17,ja,最大の奨学金を受けるには、短いインタビューが必要です。学習の目的や、なぜ米国のサンフランシスコ州立大学で学びたいのかについて一般的な質問がされます。
18,en,"A separate application for the Presidential Scholarship is required. In addition to the application, students will need to submit a 500-word essay, a resume and 2 letters of recommendation."
18,ja,大統領奨学金には別途申請が必要です。申請に加え、500文字のエッセイ、履歴書、そして推薦状2通を提出する必要があります。
19,en,"From the second to fourth years, $5,000 will be awarded each year based on the first year’s academic performance."
19,ja,"2～4年目は1年目の成績に基づき5,000ドルが各年度給付されます"
