delete_flg,id,university_id,designation_id
0,20001,20001,20002
0,20002,20004,20001
0,20003,20005,20001
0,20004,20006,20001
0,20005,20008,20001
0,20006,20011,20003
0,20007,20012,20003
0,20008,20013,20003
0,20009,20014,20003
0,20010,20015,20003
1,20011,20016,20003
0,20012,20017,20003
0,20013,20018,20002
0,20014,20019,20001
0,20015,20020,20001
0,20016,20021,20001
0,20017,20022,20001
0,20018,20023,20001
0,20019,20024,20001
0,20020,20025,20003
0,20021,20026,20002
1,20022,20027,20004
0,20023,20028,20004
0,20024,20030,20003
0,20025,20031,20003
0,20026,20032,20003
0,20027,20033,20003
0,20028,20034,20003
0,20029,20035,20003
0,20030,20036,20001
0,20031,20037,20001
0,20032,20038,20001
0,20033,20039,20001
0,20034,20048,20003
0,20035,20049,20003
0,20036,20051,20003
0,20037,20058,20002
0,20038,20062,20003
