id,university_id,university_designation_id,is_active
1,1,2,TRUE
2,4,1,TRUE
3,5,1,TRUE
4,6,1,TRUE
5,8,1,TRUE
6,11,3,TRUE
7,12,3,TRUE
8,13,3,TRUE
9,14,3,TRUE
10,15,3,TRUE
11,16,3,FALSE
12,17,3,TRUE
13,18,2,TRUE
14,19,1,TRUE
15,20,1,TRUE
16,21,1,TRUE
17,22,1,TRUE
18,23,1,TRUE
19,24,1,TRUE
20,25,3,TRUE
21,26,2,TRUE
22,27,4,FALSE
23,28,4,TRUE
24,30,3,TRUE
25,31,3,TRUE
26,32,3,TRUE
27,33,3,TRUE
28,34,3,TRUE
29,35,3,TRUE
30,36,1,TRUE
31,37,1,TRUE
32,38,1,TRUE
33,39,1,TRUE
34,48,3,TRUE
35,49,3,TRUE
36,50,3,TRUE
37,57,2,TRUE
38,61,3,TRUE
